
類別,會話編號,會話標題,角色,阿美語,中文翻譯
訊息問句,會話2-3,問數量(人),A,Papina ko tamdaw no loma' namo?,你們家有幾個人？
訊息問句,會話2-3,問數量(人),B,Lalima ko tamdaw no loma' niyam.,我們家有五個人。
訊息問句,會話2-3a,問數量(人),A,Papina ko salikaka iso?,你有幾個兄弟姊妹？
訊息問句,會話2-3a,問數量(人),B,Ira ko cecay fafahiyan a kaka ato cecay fafahiyan a safa.,我有一個姊姊和一個妹妹。
訊息問句,會話2-3b,問數量(人),A,Papina ko widang iso?,你有幾個朋友？
訊息問句,會話2-3b,問數量(人),B,'Aloman ko widang ako.,我有很多朋友。
訊息問句,會話2-4,問數量(年齡),A,Pina to ko mihecaan iso?,你幾歲？
訊息問句,會話2-4,問數量(年齡),B,Safaw lima ko mihecaan ako.,我十五歲。
訊息問句,會話2-4a,問數量(年齡),A,Pina to ko mihecaan no safa iso?,你妹妹幾歲？
訊息問句,會話2-4a,問數量(年齡),B,Enem to ko mihecaan no safa ako.,我妹妹六歲。
訊息問句,會話2-4b,問數量(年齡),A,Pina to ko mihecaan no mama iso?,你爸爸幾歲？
訊息問句,會話2-4b,問數量(年齡),B,Sepat polo' to ko mihecaan no mama ako.,我爸爸四十歲。
訊息問句,會話2-5,問數量(動物),A,Pina ko waco noni a wawa?,這個小孩有幾隻狗？
訊息問句,會話2-5,問數量(動物),B,Cecay aca ko waco nira.,他有一隻狗。
訊息問句,會話2-5a,問數量(物品),A,Pina ko cudad iso?,你有幾本書？
訊息問句,會話2-5a,問數量(物品),B,Tosa aca ko cudad ako.,我有二本書。
訊息問句,會話2-5b,問數量(天數),A,Pina ko romi'ad to cecay a lipay?,一個星期有幾天？
訊息問句,會話2-5b,問數量(天數),B,Pito a romi'ad ko cecay lipay.,一個星期有七天。
訊息問句,會話2-6,問時間(點鐘),A,Pina to ko toki anini?,現在是幾點鐘？
訊息問句,會話2-6,問時間(點鐘),B,Sepat to ko toki anini.,現在是四點鐘。
訊息問句,會話2-6a,問時間(點鐘),A,Pina ko toki lomowad kiso to dafak?,你早上幾點鐘起床？
訊息問句,會話2-6a,問時間(點鐘),B,Enem ko toki lomowad kako to dafak.,我早上六點鐘起床。
訊息問句,會話2-6b,問時間(點鐘),A,Pina ko toki mafoti' kiso to dadaya?,你晚上幾點鐘睡覺？
訊息問句,會話2-6b,問時間(點鐘),B,Moetep ko toki mafoti' kako to dadaya.,我晚上十點鐘睡覺。
訊息問句,會話2-6c,問時間(星期幾),A,Sakapina romi'ad no mitiliday anini?,今天是星期幾？
訊息問句,會話2-6c,問時間(星期幾),B,Pilipayan anini a romi'ad.,今天是星期日。
訊息問句,會話2-6d,問時間[過去],A,Anohakowa talalotok kiso?,你甚麼時候去山上？
訊息問句,會話2-6d,問時間[過去],B,Talalotokay to kako inacila.,我昨天去山上。
訊息問句,會話2-6e,問時間[未來],A,Anohakowa tayra i lotok cingra?,他甚麼時候要去山上？
訊息問句,會話2-6e,問時間[未來],B,Anodafak tayra i lotok cingra.,他明天要去山上。
訊息問句,會話2-7,問名稱(動物),A,O maan koni?,這是什麼？
訊息問句,會話2-7,問名稱(動物),B,O kolong koni.,這是牛。
訊息問句,會話2-7a,問名稱(植物),A,O maan kora?,那是什麼？
訊息問句,會話2-7a,問名稱(植物),B,O kilang kora.,那是樹。
訊息問句,會話2-7b,問名稱(自然景觀),A,O maan kora?,那是什麼？
訊息問句,會話2-7b,問名稱(自然景觀),B,O tilo ni Idek kora.,那是彩虹。
訊息問句,會話2-8,問地方(物品),A,Icowa ko impic ako?,我的筆在哪裡？
訊息問句,會話2-8,問地方(物品),B,Ira ini ko impic iso.,你的筆在這裡。
訊息問句,會話2-8a,問地方(人),A,Icowa ko mama iso?,你爸爸在哪裡？
訊息問句,會話2-8a,問地方(人),B,Ira i pitilidan ko mama ako.,我爸爸在學校裡。
訊息問句,會話2-8b,問地方(家),A,Icowa ko loma' namo?,你們家在哪裡？
訊息問句,會話2-8b,問地方(家),B,Ira i lotok ko loma' niyam.,我們家在山上。
訊息問句,會話2-9,問地方(問部落、原鄉名稱),A,Na icowaay a tayni kiso?,你從哪裡來的？
訊息問句,會話2-9,問地方(問部落、原鄉名稱),B,Na i Kakacawan a tayni kako.,我從長濱來的。
訊息問句,會話2-9a,問地方(來自),A,Na icowaay tayni kiso anini romi'ad?,你今天從哪裡來的？
訊息問句,會話2-9a,問地方(來自),B,Na i loma'ay tayni kako anini a romi'ad.,我今天從家裡來的。
訊息問句,會話2-10,問地方(前往)[進行式],A,Talacowa kiso anini?,你現在要去哪裡？
訊息問句,會話2-10,問地方(前往)[進行式],B,O maminokay kako.,我正要回家。
訊息問句,會話2-10a,問地方(前往)[過去],A,Talacowa inacila kamo?,你們昨天去哪裡？
訊息問句,會話2-10a,問地方(前往)[過去],B,Talalotok inacila kami.,我們昨天去山上。
訊息問句,會話2-10b,問地方(前往)[未來],A,Talacowa anodafak kiso?,你明天要去哪裡？
訊息問句,會話2-10b,問地方(前往)[未來],B,Talalotok anodafak kako.,我明天要去山上。
訊息問句,會話2-11,問擁有者(人),A,Nima wawa koni?,這是誰的小孩？
訊息問句,會話2-11,問擁有者(人),B,O wawa nira koni.,這是她的小孩。
訊息問句,會話2-11a,問擁有者(動物),A,Nima a siri koni?,這是誰的羊？
訊息問句,會話2-11a,問擁有者(動物),B,O siri ningra koni.,這是他的羊。
訊息問句,會話2-11b,問擁有者(物品),A,Nimaay kafong koni?,這是誰的帽子？
訊息問句,會話2-11b,問擁有者(物品),B,O kafong ako koni.,這是我的帽子。
是非問句,會話3-1,問植(食)物/水果,A,O konga kora?,那是地瓜嗎？
是非問句,會話3-1,問植(食)物/水果,B,Hai o konga kora.,是/對，那是地瓜。
是非問句,會話3-1a,問植(食)物/水果,A,O pawli kora?,那是香蕉嗎？
是非問句,會話3-1a,問植(食)物/水果,B,Caay o 'ariray kora.,不，那是玉米。
是非問句,會話3-2,問職業,A,O mitiliday ho kiso?,你是學生嗎？
是非問句,會話3-2,問職業,B,Hai o mitiliday ho kako.,是/對，我是學生。
是非問句,會話3-2a,問職業,A,O singsi cingra?,他是老師嗎？
是非問句,會話3-2a,問職業,B,Caay o ising cingra.,不，他是醫生。
是非問句,會話3-3,問關係,A,O singsi iso cingra?,他是你的老師嗎？
是非問句,會話3-3,問關係,B,Hai o singsi ako cingra.,是/對，他是我的老師。
是非問句,會話3-3a,問關係,A,O singsi iso cingra?,她是你的老師嗎？
是非問句,會話3-3a,問關係,B,Caay o ina ako cingra.,不，她是我的媽媽。
是非問句,會話3-4,問顏色(動物),A,O kohetingay ko posi iso?,你的貓是黑色的嗎？
是非問句,會話3-4,問顏色(動物),B,Hai o kohetingay ko posi ako.,是/對，我的貓是黑色的。
是非問句,會話3-4a,問顏色(物品),A,O kahengangay ko riko' ningra?,她的衣服是紅色的嗎？
是非問句,會話3-4a,問顏色(物品),B,Caay o kohecalay ko riko' ningra.,不，她的衣服是白色的。
是非問句,會話3-5,問輕重,A,Kareteng koni a parad?,這張桌子很重嗎？
是非問句,會話3-5,問輕重,B,Hai kareteng koni a parad.,是/對，這張桌子很重。
是非問句,會話3-5a,問輕重,A,Kareteng kora 'anengan?,那張椅子很重嗎？
是非問句,會話3-5a,問輕重,B,Caay kahemaw kora 'anengan.,不，那張椅子很輕。
是非問句,會話3-6,問身材,A,Takaraw ko mama iso?,你爸爸很高嗎？
是非問句,會話3-6,問身材,B,Hai takaraw ko mama ako.,是/對，我爸爸很高。
是非問句,會話3-6a,問身材,A,Takaraw ko ina iso?,你媽媽很高嗎？
是非問句,會話3-6a,問身材,B,Caay poener ko ina ako.,不，我媽媽很矮。
是非問句,會話3-7,問外貌,A,Kakaya' ko fokes ningra?,她的頭髮很長嗎？
是非問句,會話3-7,問外貌,B,Hai kakaya' ko fokes ningra.,是/對，她的頭髮很長。
是非問句,會話3-7a,問外貌,A,Kakaya'ko fokes iso?,你的頭髮很長嗎？
是非問句,會話3-7a,問外貌,B,Caay kamoko' ko fokes ako.,不，我的頭髮很短。
是非問句,會話3-8,問特質,A,Malalok kora a tamdaw?,那個人很勤勞嗎？
是非問句,會話3-8,問特質,B,Hai malalok cingra.,是/對，他很勤勞。
是非問句,會話3-8a,問特質,A,Malalok kora a tamdaw?,那個人很勤勞嗎？
是非問句,會話3-8a,問特質,B,Caay matoka cingra.,不，他很懶惰。
是非問句,會話3-9,問擁有(人),A,Ira ko wawa nira?,他有孩子嗎？
是非問句,會話3-9,問擁有(人),B,Hai ira ko wawa nira.,是/對，他有孩子。
是非問句,會話3-9a,問擁有(動物),A,Ira ko cecay a waco iso?,你有狗嗎？
是非問句,會話3-9a,問擁有(動物),B,Hai ira ko cecay a waco ako.,是/對，我有一隻狗。
是非問句,會話3-9b,問擁有(人),A,Ira ko cecay fafahiyan a safa iso?,你有一個妹妹嗎？
是非問句,會話3-9b,問擁有(人),B,Hai ira ko cecay fafaiyan a safa ako.,是/對，我有一個妹妹。
是非問句,會話3-9c,問擁有(人),A,Ira ko cecay fafahiyan a safa iso?,你有一個妹妹嗎？
是非問句,會話3-9c,問擁有(人),B,Caay tatosa ko fafahiyan a safa ako.,不，我有二個妹妹。
是非問句,會話3-10,問外觀,A,Fangcal nengnengen ko tilo ni Idek?,彩虹好看嗎？
是非問句,會話3-10,問外觀,B,Hai tadafangcal nengnengen ko tilo ni Idek.,是/對，彩虹非常好看。
是非問句,會話3-10a,問外觀,A,Tata'ak kora loma'?,那間房子很大嗎？
是非問句,會話3-10a,問外觀,B,Hai tata'ak kora loma'.,是/對，那間房子很大。
是非問句,會話3-10b,問外觀,A,Tata'ak kora loma'?,那間房子很大嗎？
是非問句,會話3-10b,問外觀,B,Caay miming kora loma'.,不，那間房子很小。
是非問句,會話3-11,問天氣,A,Fangcal anini ko romi'ad?,今天天氣好嗎？
是非問句,會話3-11,問天氣,B,Hai fangcal ko romio'ad anini.,是/對，今天天氣很好。
是非問句,會話3-11a,問天氣,A,Fangcal ko romi'ad anini?,今天天氣好嗎？
是非問句,會話3-11a,問天氣,B,Tati'ih ma'oraday i matini.,不，正在下雨。
是非問句,會話3-11b,問天氣,A,Fa'edet ko romi'ad anini?,今天熱嗎？
是非問句,會話3-11b,問天氣,B,Hai fa'edet ko romi'ad anini.,是/對，今天很熱。
是非問句,會話3-11c,問天氣,A,Fa'edet ko romi'ad anini?,今天熱嗎？
是非問句,會話3-11c,問天氣,B,Caay si'enaw ko romi'ad anini.,不，今天很冷。
是非問句,會話3-11d,問天氣,A,To'eman to?,天黑了嗎？
是非問句,會話3-11d,問天氣,B,Hai micelem to ko cidal!,是/對，太陽下山了！
是非問句,會話3-11e,問天氣,A,Mafaliyos to?,颱風來了嗎？
是非問句,會話3-11e,問天氣,B,Hai tata'ak ko 'orad anini a romi'a.,是/對，今天下雨下得很大。
是非問句,會話3-12,問日常生活[單一動詞、習慣性],A,Romi'ami'ad minengneng to tilifi cangra?,他們天天看電視嗎？
是非問句,會話3-12,問日常生活[單一動詞、習慣性],B,Hai romi'ami'ad minengneng to tilifi cangra.,是/對，他們天天看電視。
是非問句,會話3-12a,問日常生活[單一動詞、習慣性],A,Romi'ami'ad minengneng to tilifi kiso?,你天天看電視嗎？
是非問句,會話3-12a,問日常生活[單一動詞、習慣性],B,Caay romi'ami'ad misa'osi kako.,不，我天天讀書。
是非問句,會話3-12b,問日常生活[單一動詞、習慣性],A,Pararid ci kafong cingra?,她常常戴帽子嗎？
是非問句,會話3-12b,問日常生活[單一動詞、習慣性],B,Hai pararid ci kafong cingra.,是/對，她常常戴帽子。
是非問句,會話3-13,問動作之進行[單一動詞、進行式],A,Mafoti' ko safa iso?,你妹妹在睡覺嗎？
是非問句,會話3-13,問動作之進行[單一動詞、進行式],B,Hai mafoti' cingra.,是/對，她在睡覺。
是非問句,會話3-13a,問動作之進行[單一動詞、進行式],A,Misalama kora wawa?,那些孩子在玩耍嗎？
是非問句,會話3-13a,問動作之進行[單一動詞、進行式],B,Hai misalama kora wawa.,是/對，那些孩子在玩耍。
是非問句,會話3-13b,問動作之進行[單一動詞、進行式],A,Ma'orad to mihawikid to linay kiso?,下雨了！你帶著雨傘嗎？
是非問句,會話3-13b,問動作之進行[單一動詞、進行式],B,Hai mihawikid to linay kako.,是/對，我帶著雨傘。
是非問句,會話3-14,問自然景觀[單一動詞、進行式],A,Ma'orad to?,在下雨嗎？
是非問句,會話3-14,問自然景觀[單一動詞、進行式],B,Hai ma'orad i matini.,是/對，正在下雨。
是非問句,會話3-14a,問自然景觀[單一動詞、進行式],A,Ma'orad to?,在下雨嗎？
是非問句,會話3-14a,問自然景觀[單一動詞、進行式],B,Caay masadak to ko cidal!,不，太陽出來了！
是非問句,會話3-15,問日常生活[連動結構、習慣性],A,Pararid tayra miliso' ci akongan kamo?,你們常常去探望祖父嗎？
是非問句,會話3-15,問日常生活[連動結構、習慣性],B,Hai pararid tayra miliso' ci akongan kami.,是/對，我們常常去探望祖父。
是非問句,會話3-15a,問日常生活[連動結構、習慣性],A,Romi'ami'ad tayni itini malafi kamo?,你們天天來這裡吃晚餐嗎？
是非問句,會話3-15a,問日常生活[連動結構、習慣性],B,Hai romi'ami'ad tayni itini malafi kami.,是/對，我們天天來這裡吃晚餐。
是非問句,會話3-16,問喜愛[連動結構],A,Maolah micoka kora wawa?,那個孩子喜歡畫圖嗎？
是非問句,會話3-16,問喜愛[連動結構],B,Hai maolah micoka kora wawa.,是/對，他很喜歡畫圖。
是非問句,會話3-16a,問喜愛[連動結構],A,Maolah misa'osi kiso?,你喜歡讀書嗎？
是非問句,會話3-16a,問喜愛[連動結構],B,Hai maolah misa'osi kako.,是/對，我很喜歡讀書。
是非問句,會話3-17,問能力[連動結構],A,Mafana' romadiw kora wawa?,那些孩子會唱歌嗎？
是非問句,會話3-17,問能力[連動結構],B,Hai mafana' romadiw cangra.,會/對，他們很會唱歌。
是非問句,會話3-17a,問能力[連動結構],A,Mafana' mifaca' to riko' kiso?,你會洗衣服嗎？
是非問句,會話3-17a,問能力[連動結構],B,Hai mafana' a mifaca' to riko' kako.,會/對，我會洗衣服。
是非問句,會話3-18,問動作之進行[連動結構、進行式],A,O tatayra i pitilidan misalama kamo?,你們正要去學校玩耍嗎？
是非問句,會話3-18,問動作之進行[連動結構、進行式],B,Hai o tatayra i pitilidan misalama kami.,是/對，我們正要去學校玩耍。
是非問句,會話3-19,問許可[連動結構],A,Mangaay a masadak misalama kako to herek no lahok?,下午我可以出去玩嗎？(請求同意)
是非問句,會話3-19,問許可[連動結構],B,Hai mangaay a masadak misalama kiso!,好，你可以出去玩！
祈使句,會話4-1,日常動作(教室用語),A,Katomireng! Mita'ong！,起立！敬禮！(班長說)
祈使句,會話4-1,日常動作(教室用語),B,Nga'ay ho singsi!,老師好！(全班說)
祈使句,會話4-1a,日常動作(教室用語),A,Nga'ay ho kamo mitiliday!,同學好(老師說)
祈使句,會話4-1a,日常動作(教室用語),B,Kamaro'!,坐下！(班長說)
祈使句,會話4-1b,日常動作(教室用語),A,Da kasomowal!,請說(說說看)！
祈使句,會話4-1c,日常動作(教室用語),A,Tengilen!,請聽(聽聽看)！
祈使句,會話4-2,日常動作[連動結構],A,Pisa'osi to!,去讀書！
祈使句,會話4-2a,日常動作[連動結構],A,Kapiliso' to ci akongan!,去探望祖父！
祈使句,會話4-3,日常動作[否定],A,Aka ka caciyaw! / Katomerep!,別說話！(安靜！)
祈使句,會話4-3a,日常動作[否定],A,Aka ka apac!,別遲到！
祈使句,會話4-3b,日常動作[否定],A,Aka pila'om!,別浪費！
祈使句,會話4-4,日常動作,A,Fawahan ko sasingaran!,開窗(把窗戶打開)！
祈使句,會話4-4,日常動作,B,Hayda!,好！
祈使句,會話4-4a,日常動作,A,Ama fawahen ho!,祖母，請開門！(較客氣之說法)
祈使句,會話4-4a,日常動作,B,Tayni to!,好！來了！
否定句,會話5-1,問動物,A,O ekong kora?,那是貓頭鷹嗎？
否定句,會話5-1,問動物,B,Caay caayay ko ekong kora.,不，那不是貓頭鷹。
否定句,會話5-2,問職業,A,O singsi cingra?,他是老師嗎？
否定句,會話5-2,問職業,B,Caay caayay ko singsi cingra.,不，他不是老師。
否定句,會話5-3,問關係,A,O singsi iso cingra?,她是你的老師嗎？
否定句,會話5-3,問關係,B,Caay caayay ko singsi ako cingra.,不，她不是我的老師。
否定句,會話5-4,問顏色,A,O kahengangay ko riko' nira?,她的衣服是紅色的嗎？
否定句,會話5-4,問顏色,B,Caay caayay ko kahengangay ko riko' nira.,不，她的衣服不是紅色的。
否定句,會話5-5,問輕重,A,Kareteng kora 'anengan?,那張椅子很重嗎？
否定句,會話5-5,問輕重,B,Caay caayay ka kareteng kora 'anengan.,不，那張椅子不重。
否定句,會話5-6,問身材,A,Takaraw ko ina iso?,你媽媽很高嗎？
否定句,會話5-6,問身材,B,Caay caayay ka takaraw ko ina ako.,不，我媽媽不高。
否定句,會話5-7,問外貌,A,Kakaya ko fokes iso?,你的頭髮很長嗎？
否定句,會話5-7,問外貌,B,Caay caayay ka kakaya ko fokes ako.,不，我的頭髮不長。
否定句,會話5-8,問特質,A,Malalok kora tamdaw?,那個人很勤勞嗎？
否定句,會話5-8,問特質,B,Caay caayay ka lalok.,不，他不勤勞。
否定句,會話5-9,問擁有(人),A,Ira ko fa'inayan a safa iso?,你有弟弟嗎？
否定句,會話5-9,問擁有(人),B,Awa awaay ko fa'inayan a safa ako.,不，我沒有弟弟。
否定句,會話5-10,問外觀,A,Tata'ak kora loma'?,那間房子很大嗎？
否定句,會話5-10,問外觀,B,Caay caayay ka tata'ak kora loma'.,不，那間房子不大。
否定句,會話5-11,問天氣,A,Fa'edet anini a romi'ad?,今天熱嗎？
否定句,會話5-11,問天氣,B,Caay caayay ka fa'edet anini.,不，今天不熱。
否定句,會話5-12,問日常生活[單一動詞、習慣性],A,Romi'ami'ad minengneng to tilifi cangra?,他們天天看電視嗎？
否定句,會話5-12,問日常生活[單一動詞、習慣性],B,Caay caayay ka saromi'ami'ad minengneng to tilifi cangra.,不，他們沒有天天看電視。
否定句,會話5-12a,問日常生活[單一動詞、習慣性],A,Romi'ami'ad misa'osi kiso?,你天天讀書嗎？
否定句,會話5-12a,問日常生活[單一動詞、習慣性],B,Caay caayay ka saromi'ami'ad misa'osi kako.,不，我沒有天天讀書。
否定句,會話5-13,問動作之進行[單一動詞、進行式],A,Misa'osi kiso?,你在讀書嗎？
否定句,會話5-13,問動作之進行[單一動詞、進行式],B,Caay caayay pisa'osi kako.,不，我沒有在讀書。
否定句,會話5-13a,問動作之進行[單一動詞、進行式],A,Ma'orad to mihawikid to linay kiso?,下雨了！你帶著雨傘嗎？
否定句,會話5-13a,問動作之進行[單一動詞、進行式],B,Caay caayay pihawikid to linay kako.,不，我沒帶著雨傘。
否定句,會話5-14,問自然景觀[單一動詞、進行式],A,Ma'orad to?,在下雨嗎？
否定句,會話5-14,問自然景觀[單一動詞、進行式],B,Caay caayay ka'orad!,不，沒有在下雨！
否定句,會話5-15,問喜愛[單一動詞、習慣性],A,Maolah tora cudad cingra?,她喜歡那本書嗎？
否定句,會話5-15,問喜愛[單一動詞、習慣性],B,Caay caayay kaolah tora cudad cingra.,不，她不喜歡那本書。
否定句,會話5-16,問想念[單一動詞、習慣性],A,Ma'ilol ci amaan kiso?,你很想念祖母嗎？
否定句,會話5-16,問想念[單一動詞、習慣性],B,Hai ma'ilol ci amaan kako.,是，我很想念祖母。
否定句,會話5-17,問日常生活[連動結構、習慣性],A,Romi'ami'ad tayni itini a malafi kamo?,你們天天來這裡吃晚餐嗎？
否定句,會話5-17,問日常生活[連動結構、習慣性],B,Caay caayay ka saromi'ami'ad tayni a malafi kami.,不，我們沒有天天來這裡吃晚餐。
否定句,會話5-18,問喜愛[連動結構、習慣性],A,Maolah micoka kora wawa?,那個孩子喜歡畫圖嗎？
否定句,會話5-18,問喜愛[連動結構、習慣性],B,Caay caayay ka olah micoka cingra.,不，他不喜歡畫圖。
否定句,會話5-19,問能力[連動結構、習慣性],A,Mafana' a romadiw kora wawa?,那個孩子會唱歌嗎？
否定句,會話5-19,問能力[連動結構、習慣性],B,Mafokil mafokil a romadiw cingra.,不，他不會唱歌。
否定句,會話5-20,問動作之進行[連動結構、進行],A,O tatayra i pitilidan a romadiw kamo?,你們正要去學校唱歌嗎？
否定句,會話5-20,問動作之進行[連動結構、進行],B,Caay caayay ko tatayra i pitilidan a romadiw kami.,不，我們不是要去學校唱歌。
否定句,會話5-21,問許可[連動結構、習慣性],A,Manga'ay a masadak misalama kako to herek no lahok?,下午我可以出去玩嗎？(請求同意)
否定句,會話5-21,問許可[連動結構、習慣性],B,Tati'ih caay kanga'ay masadak a misalama kiso!,不，你不可以出去玩！
否定句,會話5-22,問動作之完成,A,Matomes to maparo ko mami' i fakar nangra?,他們的簍子裝滿了橘子嗎？
否定句,會話5-22,問動作之完成,B,caho caho katomes a maparo ko mami' i fakar nangra.,不，他們的簍子沒有裝滿橘子。
否定句,會話5-23,祈使句[否定],A,Aka ka foti'!,別睡覺！
否定句,會話5-23,祈使句[否定],B,Caho ka foti' kako.,我沒有在睡覺。
否定句,會話5-23a,祈使句[否定],A,Aka fawahen!,別開門！
否定句,會話5-23a,祈使句[否定],B,Mafana' to!,我知道了！
否定句,會話5-23b,祈使句[否定],A,Aka pitawal minokay malafi yo!,別忘記回來吃晚飯喔！
否定句,會話5-23b,祈使句[否定],B,Mafana' to!,我知道了！
複雜句,會話6-1,表條件,A,Ano masaesa' ko 'orad manga'ay masadak a misalama kako?,如果雨停了，我可以出去玩嗎？
複雜句,會話6-1,表條件,B,Ano masaesa' ko 'orad manga'ay masadak a misalama kiso.,如果雨停了，你可以出去玩。
複雜句,會話6-2,表時間,A,Ya masadak ci ina cikafong cingra?,媽媽出去的時候，她戴著帽子嗎？
複雜句,會話6-2,表時間,B,Hai ya masadak ci ina cikafong cingra.,是/對，媽媽出去的時候，她戴著帽子。
複雜句,會話6-2a,表時間,A,Ya masadak ci mama mihawikid to linay cingra?,爸爸出去的時候，他帶著雨傘嗎？
複雜句,會話6-2a,表時間,B,Caay masadak ci mama caayay pihawikid to linay cingra.,不，爸爸出去的時候，他沒有帶著雨傘。
複雜句,會話6-3,表認知,A,Anodafak tayni ci ama mafana' kamo?,你們知道祖母明天要來嗎？
複雜句,會話6-3,表認知,B,Hai anodafak tayni ci ama mafana' kami.,是，我們知道祖母明天要來。
複雜句,會話6-3a,表認知,A,Anodafak tayni ci fai mafana' kamo?,你們知道嬸嬸明天要來嗎？
複雜句,會話6-3a,表認知,B,Mafokil anodafak tayni ci fai mafokil kami.,不，我們不知道嬸嬸明天要來。
複雜句,會話6-4,表季節,A,Kaciherangan to anini.,現在是夏天。
複雜句,會話6-4,表季節,B,Kaciherangan to adihay to ko faliyos.,夏天時，颱風很多。
複雜句,會話6-4a,表季節,A,Kaciherangan to adihay to ko nanom no 'alo.,夏天時，溪水也很深(多/大)。
複雜句,會話6-4a,表季節,B,Kasi'enawan to miming to ko nanom no 'alo.,冬天時，溪水很淺(小)。
複雜句,會話6-4b,表季節,A,Lalo'odan to marohem to ko mami'.,秋天時，橘子成熟了。
複雜句,會話6-4b,表季節,B,Maolah kako komaen to mami'.,我喜歡吃橘子。
