time	log
44:27.6	[2025-12-30T06:44:27.482Z] [INFO] [DL] 觸發新科目歧義消除流程: 藍芽耳機 [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_processQuickBookkeeping]
44:28.3	[2025-12-30T06:44:27.883Z] [INFO] [DL] 階段二修復：記憶體Session創建成功，狀態同步驗證通過: 1767077067883 [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_createPendingRecord]
44:28.4	[2025-12-30T06:44:28.382Z] [DEBUG] [DL] 階段二修復：Session初始狀態 - 科目已選: false, 錢包已選: false [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_createPendingRecord]
44:30.5	[2025-12-30T06:44:30.484Z] [INFO] [DL] 處理新科目歸類: 藍芽耳機 [388ce569] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_handleNewSubjectClassification]
44:33.6	[2025-12-30T06:44:33.584Z] [DEBUG] [DL] 成功載入0099.json，共11筆科目資料 [Code: DEBUG] [Location: LBK_load0099SubjectConfig]
44:34.1	[2025-12-30T06:44:34.084Z] [INFO] [DL] v1.4.3 生成科目歸類選單和Quick Reply，共11個動態選項 (來源:0099.json) [Code: INFO] [Location: LBK_buildClassificationMessage]
44:36.8	已儲存pending記帳資料到快取: WH_PENDING_Uae47d9d496e4596d70ed724a7d6e2948 [388ce569]
44:36.8	WH_replyMessage: 訊息對象結構: ["success","message","responseMessage","quickReply","moduleCode","module","processingTime","moduleVersion","requiresUserSelection","pendingData"]
44:36.8	WH_replyMessage: 收到類型 object 的訊息對象
44:36.8	[WH 2.0.16 LOG] WH 2.5.1: 已儲存pending記帳資料，等待用戶選擇科目 [388ce569] (INFO)
44:37.9	WH_replyMessage: 發現message屬性 (string)
44:37.9	WH_replyMessage: 使用responseMessage屬性 (您的科目庫無此科目，請問「藍芽耳機」屬於什麼科目？...)
44:37.9	WH_replyMessage: 發現responseMessage屬性 (string), 長度=25
44:37.9	WH_replyMessage: 開始回覆訊息: 您的科目庫無此科目，請問「藍芽耳機」屬於什麼科目？
44:37.9	WH_replyMessage: 訊息對象預覽: {"success":true,"message":"您的科目庫無此科目，請問「藍芽耳機」屬於什麼科目？","responseMessage":"您的科目庫無此科目，請問「藍芽耳機」屬於什麼科目？","quickReply":{"items":[{"type":"action","action":{"type":"postback","label":"101 生鮮雜貨","data":"class...
44:39.8	[WH 2.0.16 LOG] WH 2.0.3: 發送API請求到LINE平台 (INFO)
44:39.8	[WH 2.0.16 LOG] WH 2.0.3: 開始回覆訊息: 您的科目庫無此科目，請問「藍芽耳機」屬於什麼科目？ (INFO)
44:49.7	LINE API 回覆結果: 200
44:49.7	回覆訊息成功
44:49.7	[WH 2.0.16 LOG] WH 2.0.3: 回覆訊息成功發送 (INFO)
44:49.8	非同步處理完成，已清理數據 [388ce569]
44:49.8	LBK處理完成 [388ce569]
44:49.8	[WH 2.0.16 LOG] WH 2.5.1: DCN-0024 階段二 - 正確傳遞Quick Reply參數 [388ce569] (INFO)
44:49.8	WH v2.5.0: 完全信任LBK處理結果，準備轉發回覆 [388ce569]
44:49.8	[WH 2.0.16 LOG] WH 階段一: LBK處理完成 [388ce569] (INFO)
44:49.8	[WH 2.0.16 LOG] WH 2.0.7: 非同步處理完成 [388ce569] (INFO)
44:49.8	DD_distributeData處理完成，結果預覽: {"success":true,"hasResponseMessage":true,"responseMsgLength":25,"errorType":"無","moduleCode":"LBK","hasPartialData":false} [388ce569]
44:49.8	訊息處理結果: {"success":true,"message":"您的科目庫無此科目，請問「藍芽耳機」屬於什麼科目？","responseMessage":"您的科目庫無此科目，請問「藍芽耳機」屬於什麼科目？","quickReply":{"items":[{"type":"action","action":{"type":"postback","label":"101 生鮮雜貨","data":"classify_101_{\"subject\":\"藍芽耳機\",\"amount\":77777,\"rawAmount\":\"77777\",\"paymentMethod\":null,\"userId\":\"Uae47d9d496e4596d70ed724a7d6e2948\",\"pendingId\":\"1767077067883\"}","displayText":"101 生鮮雜貨"}},{"type":"action","action":{"type":"postback","label":"102 生活家用","data":"classify_102_{\"subject\":\"藍芽耳機\",\"amount\":77777,\"rawAmount\":\"77777\",\"paymentMethod\":null,\"userId\":\"Uae47d9d496e4596d70ed724a7d6e2948\",\"pendingId\":\"1767077067883\"}","displayText":"102 生活家用"}},{"type":"action","action":{"type":"postback","label":"103 交通費用","data":"classify_103_{\"subject\":\"藍芽耳機\",\"amount\":77777,\"rawAmount\":\"77777\",\"paymentMethod\":null,\"userId\":\"Uae47d9d496e4596d70ed724a7d6e2948\",\"pendingId\":\"1767077067883\"}","displayText":"103 交通費用"}},{"type":"action","action":{"type":"postback","label":"104 餐飲費用","data":"classify_104_{\"subject\":\"藍芽耳機\",\"amount\":77777,\"rawAmount\":\"77777\",\"paymentMethod\":null,\"userId\":\"Uae47d9d496e4596d70ed724a7d6e2948\",\"pendingId\":\"1767077067883\"}","displayText":"104 餐飲費用"}},{"type":"action","action":{"type":"postback","label":"105 娛樂消遣","data":"classify_105_{\"subject\":\"藍芽耳機\",\"amount\":77777,\"rawAmount\":\"77777\",\"paymentMethod\":null,\"userId\":\"Uae47d9d496e4596d70ed724a7d6e2948\",\"pendingId\":\"1767077067883\"}","displayText":"105 娛樂消遣"}},{"type":"action","action":{"type":"postback","label":"106 運動嗜好","data":"classify_106_{\"subject\":\"藍芽耳機\",\"amount\":77777,\"rawAmount\":\"77777\",\"paymentMethod\":null,\"userId\":\"Uae47d9d496e4596d70ed724a7d6e2948\",\"pendingId\":\"1767077067883\"}","displayText":"106 運動嗜好"}},{"type":"action","action":{"type":"postback","label":"107 寵物生活","data":"classify_107_{\"subject\":\"藍芽耳機\",\"amount\":77777,\"rawAmount\":\"77777\",\"paymentMethod\":null,\"userId\":\"Uae47d9d496e4596d70ed724a7d6e2948\",\"pendingId\":\"1767077067883\"}","displayText":"107 寵物生活"}},{"type":"action","action":{"type":"postback","label":"108 醫療費用","data":"classify_108_{\"subject\":\"藍芽耳機\",\"amount\":77777,\"rawAmount\":\"77777\",\"paymentMethod\":null,\"userId\":\"Uae47d9d496e4596d70ed724a7d6e2948\",\"pendingId\":\"1767077067883\"}","displayText":"108 醫療費用"}},{"type":"action","action":{"type":"postback","label":"201 財務收入","data":"classify_201_{\"subject\":\"藍芽耳機\",\"amount\":77777,\"rawAmount\":\"77777\",\"paymentMethod\":null,\"userId\":\"Uae47d9d496e4596d70ed724a7d6e2948\",\"pendingId\":\"1767077067883\"}","displayText":"201 財務收入"}},{"type":"action","action":{"type":"postback","label":"301 財務支出","data":"classify_301_{\"subject\":\"藍芽耳機\",\"amount\":77777,\"rawAmount\":\"77777\",\"paymentMethod\":null,\"userId\":\"Uae47d9d496e4596d70ed724a7d6e2948\",\"pendingId\":\"1767077067883\"}","displayText":"301 財務支出"}},{"type":"action","action":{"type":"postback","label":"999 其他","data":"classify_999_{\"subject\":\"藍芽耳機\",\"amount\":77777,\"rawAmount\":\"77777\",\"paymentMethod\":null,\"userId\":\"Uae47d9d496e4596d70ed724a7d6e2948\",\"pendingId\":\"1767077067883\"}","displayText":"999 其他"}}]},"moduleCode":"LBK","module":"LBK","processingTime":1766128316.818,"moduleVersion":"1.4.3","requiresUserSelection":true,"pendingData":{"subject":"藍芽耳機","amount":77777,"rawAmount":"77777","paymentMethod":null,"userId":"Uae47d9d496e4596d70ed724a7d6e2948","timestamp":"2025-12-30T06:44:34.683Z","processId":"388ce569","originalInput":"藍芽耳機77777","stageData":{"electedCategory":{},"categorySelected":true}}} [388ce569]
44:51.1	[WH 2.0.16 LOG] WH 2.0.7: 收到LINE Webhook請求 [c913f1bd] (INFO)
44:51.1	非回覆事件，使用非同步處理 [c913f1bd]
44:52.1	開始非同步處理請求 [c913f1bd]
44:52.1	[WH 2.0.16 LOG] WH 2.0.7: 開始非同步處理請求 [c913f1bd] (INFO)
44:52.1	[2025-12-30T06:44:52.082Z] [INFO] [DL] 檢測到科目歸類postback格式訊息 [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_processQuickBookkeeping]
44:52.1	[WH 2.0.16 LOG] WH 2.5.3: 階段一修復 - 識別postback事件類型: classify_102_{"subject":"藍芽耳機","amount":77777,"rawAmount":"77777","paymentMethod":null,"userId":"Uae47d9d496e4596d70ed724a7d6e2948","pendingId":"1767077067883"} [c913f1bd] (INFO)
44:52.1	WH v2.5.0: 純粹轉發至LBK處理 - classify_102_{"subject":"藍芽耳機","amount":77777,"rawAmount":"77777","paymentMethod":null,"userId":"Uae47d9d496e4596d70ed724a7d6e2948","pendingId":"1767077067883"}
44:52.1	WH v2.5.3: 收到postback事件: classify_102_{"subject":"藍芽耳機","amount":77777,"rawAmount":"77777","paymentMethod":null,"userId":"Uae47d9d496e4596d70ed724a7d6e2948","pendingId":"1767077067883"}
44:52.1	[2025-12-30T06:44:52.082Z] [INFO] [DL] 開始處理LINE OA請求 [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_processQuickBookkeeping]
44:52.2	[2025-12-30T06:44:52.082Z] [INFO] [DL] 處理科目歸類postback: categoryId=102 [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_handleClassificationPostback]
44:52.2	[2025-12-30T06:44:52.082Z] [INFO] [DL] 科目選擇完成，開始執行記帳: categoryId=102 [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_processQuickBookkeeping]
44:52.4	[2025-12-30T06:44:52.181Z] [DEBUG] [DL] 成功載入0099.json，共11筆科目資料 [Code: DEBUG] [Location: LBK_load0099SubjectConfig]
44:52.4	[2025-12-30T06:44:52.281Z] [DEBUG] [DL] 成功載入0099.json，共11筆科目資料 [Code: DEBUG] [Location: LBK_load0099SubjectConfig]
44:52.4	[2025-12-30T06:44:52.281Z] [INFO] [DL] 階段一修復：添加科目同義詞: 藍芽耳機 → 生活家用 (ID: 102) [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_addSubjectSynonym]
44:52.4	[2025-12-30T06:44:52.281Z] [DEBUG] [DL] 建立科目映射表，共11個選項 (來源:0099.json) [Code: DEBUG] [Location: LBK_buildCategoryMapping]
44:52.4	[2025-12-30T06:44:52.281Z] [INFO] [DL] 科目歸類選擇: 生活家用 [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_handleClassificationPostback]
44:52.8	[2025-12-30T06:44:52.683Z] [INFO] [DL] 階段一修復：現有同義詞: [香菸, 腳踏車] [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_addSubjectSynonym]
44:53.6	[2025-12-30T06:44:53.582Z] [INFO] [DL] 階段一修復：科目同義詞事務更新成功: "香菸,腳踏車,藍芽耳機" [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_addSubjectSynonym]
44:53.7	[2025-12-30T06:44:53.583Z] [DEBUG] [DL] 階段三：開始簡化格式解析: "classify_102_{"subject":"藍芽耳機","amount":77777,"rawAmount":"77777","paymentMethod":null,"userId":"Uae47d9d496e4596d70ed724a7d6e2948","pendingId":"1767077067883"}" [c913f1bd] [Code: DEBUG] [Location: LBK_parseInputFormat]
44:53.7	[2025-12-30T06:44:53.583Z] [DEBUG] [DL] 階段二：動態讀取0302預設支付方式配置 [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getDefaultPaymentMethod]
44:53.7	[2025-12-30T06:44:53.583Z] [DEBUG] [DL] 檢測到系統內部postback格式，跳過解析: "classify_102_{"subject":"藍芽耳機","amount":77777,"rawAmount":"77777","paymentMethod":null,"userId":"Uae47d9d496e4596d70ed724a7d6e2948","pendingId":"1767077067883"}" [c913f1bd] [Code: DEBUG] [Location: LBK_parseInputFormat]
44:53.7	[2025-12-30T06:44:53.583Z] [DEBUG] [DL] 階段二修復：狀態變更詳情 - 科目選擇: false → true, 錢包選擇: false → false [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_updatePendingRecord]
44:53.7	[2025-12-30T06:44:53.583Z] [INFO] [DL] 階段一修復：Pending Record 科目資訊更新成功: 生活家用 [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_handleClassificationPostback]
44:53.7	[2025-12-30T06:44:53.582Z] [INFO] [DL] 成功建立同義詞關聯: 藍芽耳機 → 生活家用 [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_handleClassificationPostback]
44:53.7	[2025-12-30T06:44:53.582Z] [INFO] [DL] 階段二修復：記憶體Session更新成功: 1767077067883 (PENDING_CATEGORY → PENDING_CATEGORY) [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_updatePendingRecord]
44:53.8	[2025-12-30T06:44:53.781Z] [INFO] [DL] 階段二：從0302配置讀取到預設錢包: "信用卡" [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_getDefaultPaymentMethod]
44:53.9	[2025-12-30T06:44:53.782Z] [DEBUG] [DL] 階段二：開始嚴格匹配，輸入: "信用卡" [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getWalletByName]
44:53.9	[2025-12-30T06:44:53.782Z] [DEBUG] [DL] 階段二：嚴格驗證錢包存在: walletId="null", walletName="信用卡" [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_validateWalletExists]
44:53.9	[2025-12-30T06:44:53.782Z] [INFO] [DL] 階段二修復：科目選擇完成，檢查支付方式: 信用卡 [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_handleClassificationPostback]
44:53.9	[2025-12-30T06:44:53.782Z] [DEBUG] [DL] 階段二：嚴格查詢錢包: "信用卡" [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getWalletByName]
44:53.9	[2025-12-30T06:44:53.782Z] [INFO] [DL] 階段一：科目歧義消除完成後使用預設支付方式: 信用卡 [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_handleClassificationPostback]
44:53.9	[2025-12-30T06:44:53.782Z] [DEBUG] [DL] 階段二：使用 walletName 嚴格查詢: "信用卡" [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_validateWalletExists]
44:54.5	[2025-12-30T06:44:54.482Z] [DEBUG] [DL] 階段二：查詢 wallets 集合結果: 3 筆 active 資料 [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getWalletByName]
44:54.5	[2025-12-30T06:44:54.482Z] [DEBUG] [DL] 階段二：檢查同義詞: "信用卡"，錢包: "現金"，同義詞: [現金] [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: DEBUG] [Location: LBK_getWalletByName]
44:54.5	[2025-12-30T06:44:54.483Z] [INFO] [DL] 使用1301標準路徑儲存: ledgers/user_Uae47d9d496e4596d70ed724a7d6e2948/transactions [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_saveToFirestore]
44:54.5	[2025-12-30T06:44:54.483Z] [INFO] [DL] 階段二修復：支付方式明確: 信用卡，開始執行記帳 [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_handleClassificationPostback]
44:54.5	[2025-12-30T06:44:54.483Z] [INFO] [DL] 開始執行歸類後記帳: 藍芽耳機 77777元 → 生活家用 [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_handleClassificationPostback]
44:54.5	[2025-12-30T06:44:54.483Z] [INFO] [DL] 階段二：透過 walletName 驗證成功: "信用卡" → 錢包ID: credit [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_validateWalletExists]
44:54.5	[2025-12-30T06:44:54.483Z] [INFO] [DL] 階段二：返回錢包名稱精確匹配結果: 信用卡 [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_getWalletByName]
44:54.5	[2025-12-30T06:44:54.482Z] [INFO] [DL] 階段二：找到精確錢包名稱匹配: "信用卡" → "信用卡" [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_getWalletByName]
