MM 	 DD 	 Description 	    Progress
5	8	 在LINE developer裡面註冊一個LIFF 	 Open
5	22	 測試MRA模組 	 Closed
6	5	 建立Input tester 	 Open
6	16	 處理負數金額記賬失敗案例 	 Open
6	16	 建立Input tester 	 Open
6	18	 建立Firebase新專案 	 Closed
6	18	 架設Replit環境 	 Closed
6	22	 將GAS代碼轉寫成Node.js_Test code：WH 	 Closed
6	23	 架設replit環境：建立secrets、連結Presentation layer(LINE)以及Data layer(Google sheet) 	 Closed
6	23	 設定Google Cloud API和服務：建立服務帳戶、開啟Google sheet API以及Google drive API 	 Closed
6	24	 架設replit環境：建立Express server、連結Presentation layer(LINE)以及Data layer(Google sheet) 	 Closed
6	24	 Review及修改WH.js 	 Closed
6	25	 打通webhook以及WH模組 	 Closed
6	25	 整理及搬運代碼到replit上去 	 Closed
6	26	 研究簡單記帳以及CWMoneyApp 	 Open
6	27	 整理及搬運代碼到replit上去_新增WH函數：接收DD訊息以解決循環依賴問題 	 Closed
6	28	 整理及搬運代碼到replit上去_DD模組：備註會錯誤顯示為 "禮物5555555" 	 Closed
6	30	 建立Flutter Flow專案 	 Open
6	30	 用NotebookLM去解析CWMoney如何操作 	 Open
6	30	 研究CWMoney常見問題區塊以獲得新的想法(人家的痛點，就是我的機會) 	 Open
6	30	 整理及搬運代碼到replit上去_DD模組：記帳失敗訊息的時間未設定為GMT+8 	 Closed
6	30	 在Replit上開發GR模組 	 Open
7	2	 連接Firestore DB並建立欄位 	 Closed
7	3	 修改模組代碼以符合firestore轉換 	 Closed
7	4	 修改模組代碼以符合firestore轉換 	 Closed
7	5	 撰寫Product SPEC、MRD 	 Closed
7	5	 盤點與分析LCAS 2.0技術架構 	 Clsoed
7	5	 創造專案團隊角色 	 Closed
7	7	 修改文件結構使其符合專案架構 	 Closed
7	7	 編寫模組代碼：MLS, BM 	 Closed
7	8	 連接Firestore DB並建立欄位 	 Closed
7	8	 Review 2011. FS模組 	 Closed
7	8	 撰寫AM模組PRD 	 Closed
7	8	 撰寫AM模組TDD 	 Closed
7	8	 撰寫AM模組代碼 	 Closed
7	9	 重新review模組代碼，目的是將資料庫從Google Sheet轉移到Firestore 	 Closed
7	10	 將DD模組分成三個 	 Closed
7	11	 打通LINE -> Replit -> Firestore完成首次記帳流程 	 Closed
7	11	 執行BR-0007 PBI 	 Closed
7	14	 處理LINE Reply Token 失效問題 	 Closed
7	14	 重新撰寫Test plan及Test code 	 Closed
7	15	 撰寫2015. LBK.js PRD,TDD,Test plan,test code 	 Closed
7	18	 撰寫2005. SR.js PRD,TDD,Test plan,test code 	 Closed
7	21	 撰寫2005. SR.js PRD,TDD,Test plan,test code 	 Closed
7	21	 執行BR-0008 	 Closed
7	22	 執行BR-0008 	 Closed
7	22	 研究LINE OA與APP技術架構 	 Open
7	23	 研究Flutter 	 Open
7	23	 進行Deployment作業 	 Closed
7	23	 製作展示層功能清單(Presentation layer function list) 	 Closed
7	23	 製作展示層功能清單(Presentation layer function list) 	 Closed
7	26	 編寫應用邏輯層DART語言Flutter module code 	 Closed
7	28	 撰寫BR-0009 	 Closed
7	29	 撰寫BR-0010 	 Closed
7	29	 編寫應用邏輯層Flutter module code 	 Closed
7	29	 編寫商業邏輯層RESTful API 	 Closed
7	29	 撰寫應用邏輯層與RESTful API test plan 	 Closed
7	29	 補齊各模組之test plan(之前的廢棄) 	 Closed
7	29	 撰寫Flutter各模組之test plan 	 Closed
7	29	 幫Flutter module編號 	 Closed
7	30	 編寫Flutter展示層 	 Closed
7	31	 編寫Flutter展示層 	 Closed
8	1	 修改9205. Flutter_API list 	 Closed
8	1	 撰寫9006文件 	 Closed
8	1	 改寫9005文件 	 Closed
8	1	 確認0015與6001, 6002, 9005, 9006等文件相符 	 Closed
8	2	 撰寫Flutter_SRS_AP layer 	 Closed
8	4	 撰寫Flutter_SRS_Presentation layer_P001~P026 	 Closed
8	5	 撰寫Flutter_SRS_Presentation layer_P027~P062 	 Closed
8	5	 檢查SRS有無違反9005文件 	 Closed
8	6	 撰寫Presentation layer TDD 	 Closed
8	6	 撰寫0055. 文件或代碼設計原則 	 Closed
8	7	 撰寫TDD文件(Presentation layer) 	 Closed
8	7	 整理SRS文件(Presentation layer) 	 Closed
8	8	 整理SRS文件(Presentation layer) 	 Closed
8	8	 檢查9005文件之7.5章節與9205文件之API端點之對應 	 Closed
8	11	 檢查9005文件 	 Closed
8	11	 生成8601文件(Presentation layer module code) 	 Closed
8	11	 生成9701文件(Presentation layer test plan) 	 Closed
8	12	 Review 9701文件(Presentation layer test plan) 	 Closed
8	13	 重新review 0015文件(Project LCAS SPEC)並Craft user story, user scenario以及user flow) 	 Closed
8	13	 製作User story map 	 Closed
8	14	 製作User story map 	 Closed
8	18	 製作User story map 	 Closed
8	19	 製作User story  	 Closed
8	19	 製作User scenario 	 Closed
8	19	 在Mermaid chart製作User flow 	 Closed
8	20	 Review master user flow 	 Closed
8	21	 Review Master user flow 	 Closed
8	21	 製作Screen list 	 Closed
8	21	 Review Screen list 	 Closed
8	21	 製作API List 	 Closed
8	21	 編寫Swagger API spec(0601, 0602)) 	 Closed
8	22	 編寫Swagger API spec 	 Closed
8	22	 檢查API SPEC與Business layer alignment 	 Closed
8	25	 撰寫0088. API設計規範 	 Closed
8	25	 重新組織專案資料夾框架 	 Closed
8	26	 整理81號資料夾內的API SPEC(8101~8112)，確認無違反8020以及8088文件規範 	 Closed
8	27	 整理81號資料夾內的API SPEC(8113)，確認無違反8020以及8088文件規範 	 Closed
8	27	 製作82號資料夾LLD範本 	 Closed
8	27	 製作98號資料夾：Prompt紀錄來收集有用的Prompt 	 Closed
8	27	 製作8201文件 	 Closed
8	28	 編寫8301. 認證服務.dart 	 Closed
8	28	 Code review 8301. 認證服務.dart 	 Closed
8	28	 編寫8401. 認證服務.md測試計畫 	 Closed
8	28	 編寫8501. 認證服務.dart測試代碼 	 Closed
8	28	 整理資料夾 	 Closed
8	28	 規劃在Replit環境內的Dart測試 	 Closed
8	29	 Debug 8501文件Dart測試代碼：從Mockito架構到用手動Mock代替 	 Closed
8	30	 整理8401文件 	 Closed
8	30	 整理8501測試代碼 	 Closed
8	30	 整理專案資料夾 	 Closed
9	1	 修改8501文件 	 Closed
9	2	 測試8501代碼：TC-021 failed 	 Open
9	2	 撰寫8202文件 	 Closed
9	2	 撰寫8502測試代碼 	 Closed
9	2	 測試8502測試代碼 	 Open
9	2	 製作8599. Fake service switch 	 Closed
9	3	 製作8599. Fake service switch 	 Closed
9	3	 撰寫8302模組代碼 	 Closed
9	3	 Review8302模組代碼 	 Closed
9	3	 設計Test data factory並建置測試資料 	 Open
9	3	 撰寫6015. Test data factory SRS 	 Open
9	4	 整理98號資料夾 	 Closed
9	4	 撰寫8403測試計劃 	 Closed
9	4	 編寫8503測試代碼 	 Closed
9	4	 編寫8303模組代碼 	 Closed
9	5	 檢查8303模組代碼 	 Open
9	5	 撰寫8204~8213 LLD文件 	 Closed
9	5	 撰寫8403~8411 測試計劃 	 Closed
9	5	 撰寫8412 測試計劃 	 Open
9	5	 檢查8104文件 	 Closed
9	5	 修正8404文件 	 Closed
9	5	 研究用Perplexity pro幫忙開發 	 Closed
9	8	 更新1001文件 	 Closed
9	9	 撰寫8001文件 	 Closed
9	9	 撰寫6001文件 	 Closed
9	10	 撰寫6001文件 	 Closed
9	10	 修改8404文件 	 Closed
9	10	 修改8405文件 	 Closed
9	10	 修改8406文件 	 Closed
9	10	 修改8407文件 	 Closed
9	11	 撰寫0090. Sprint計畫 	 Closed
9	11	 撰寫0026文件 	 Closed
9	11	 撰寫9502文件 	 Closed
9	11	 撰寫7101文件 	 Closed
9	11	 撰寫7102文件 	 Closed
9	11	 撰寫7201文件 	 Closed
9	11	 撰寫7202文件 	 Closed
9	12	 撰寫7401文件 	 Closed
9	12	 撰寫7402文件 	 Closed
9	12	 建立PL測試框架 	 Open
9	12	 撰寫7501測試代碼 	 Closed
9	12	 撰寫7502測試代碼 	 Closed
9	12	 撰寫7301模組代碼 	 Closed
9	12	 撰寫7302模組代碼 	 Open
9	15	 撰寫7302模組代碼 	 Open
9	15	 修改9826文件 	 Open
9	15	 撰寫9827文件 	 Open
9	15	 建立SIT_P1測試架構 	 Open
9	15	 於BL各模組建立分散式模組API endpoint 	 Open
9	15	 重寫8303模組代碼 	 Open
9	15	 需確認PL模組與APL模組是否有功能重疊部分 	 Open
9	15	 重構1309代碼(新增API端點及支援函數) 	 Open
9	16	 重構1309代碼(新增API端點及支援函數) 	 Open
9	16	 重構1301代碼(新增API端點及支援函數) 	 Open
9	16	 重構1331代碼(新增API端點及支援函數) 	 Open
9	16	 重構1311代碼(新增API端點及支援函數) 	 Open
9	16	 撰寫7302模組代碼 	 Open
9	16	 修改index.js(新增API路由) 	 Open
9	17	 進行SIT P1-2 	 Open
9	18	 撰寫DCN-0009 	 Open
9	18	 撰寫DCN-0010 	 Open
9	18	 新增Express HTTP路由層並修改相對應文件 	 Open
9	18	 撰寫DCN-0011 	 Open
9	19	 進行SIT P1-2 	 Open
9	19	 修改0603 SIT plan 	 Open
9	19	 撰寫DCN-0012：新增0090文件P1-2BL相應之API端點實作 	 Open
9	19	 需修改0081文件(2.2部分) 	 Open
9	20	 撰寫DCN-0013 	 Open
9	20	 執行DCN-0013：8201, 8202, 8203,8204, 8205, 8206重構 	 Ongoing
9	20	 執行DCN-0012：ASL.js重構 	 Closed
9	20	 打通SIT測試環境 	 Closed
9	22	 打通SIT測試環境 	 Closed
9	22	 調查Firestore寫入數超過配額原因(29,000) 	 Ongoing
9	22	 更新BL的LLD文件 	 Closed
9	23	 撰寫DCN-0014 	 Closed
9	23	 執行DCN-0014 	 Closed
9	23	 打通SIT測試環境 	 Ongoing
9	24	 設定Firebase auth 	 Open
9	24	 修改SIT測試案例及測試資料 	 Closed
9	24	 撰寫DCN-0015 	 Closed
9	24	 執行DCN-0015 	 Closed
9	24	 執行DCN-0015：更新APL層81,82,83文件 	 Closed
9	24	 執行DCN-0015：修改SIT測試邏輯 	 Closed
9	24	 打通SIT測試環境 	 Closed
9	25	 打通SIT測試環境 	 Closed
9	26	 打通SIT測試環境 	 Closed
10	1	 打通SIT測試環境：修復階段一：單點整合驗證測試 	 Closed
10	2	 打通SIT測試環境：修復階段一：單點整合驗證測試案例003, 007 	 Ongoing
10	2	 整理文件：20251002. code review prompt參考 	 Closed
10	2	 打通SIT測試環境：階段一 	 Closed
10	3	 檢查0501與0603差異 	 Ongoing
10	3	 修改0501文件 	 Ongoing
10	3	 打通SIT測試環境：SIT-TC-008 	 Closed
10	4	 修改0501文件：P1-2 API端點未完全測試	 Ongoing
10	4	 打通SIT測試環境：SIT-TC-008 	 Closed
10	4	 BL層文件：10,11,12,14資料夾需要重新整理 	 Open
10	4	 BL層文件：11資料夾文件需補齊 	 Open
10	4	 撰寫9832. 撰寫Contract表 	 Open
10	7	 修改0501文件：P1-2 API端點未完全測試	 Ongoing
10	7	 修改0501文件：API端點路徑需增加 api/v1	 Ongoing
10	7	 修改8020文件：API端點路徑需新增前綴 api/v1	 Ongoing
10	7	 計畫用VScode部署Flutter app	 Open
10	7	 打通SIT測試環境：SIT-TC-026~31 	 Ongoing
10	7	 打通SIT測試環境：處理DCN-0015 格式標準化不完整問題 	 Ongoing
10	8	 打通SIT測試：階段二 	 Ongoing
10	8	 打通SIT測試：從Firestore的欄位去確認寫入資料正確性 	 Ongoing
10	8	 整理資料欄位與模組調動邏輯 	 Closed
10	8	 撰寫DCN-0016 P1-2 測試資料流計畫.md 	 Closed
10	8	 撰寫PL層SIT測試計畫6501文件 	 Closed
10	8	 建立PL層SIT測試代碼 	 Closed
10	9	 檢視PL層模組之資料欄位是否符合1311規定之資料欄位：7301, 7302 	 Closed
10	9	 檢視BL層模組之資料欄位是否符合1311規定之資料欄位：1301, 1309 	 Closed
10	9	 撰寫9835文件 	 Closed
10	9	 以9835文件review 7570,7580,7590 	 Closed
10	9	 打通SIT測試代碼7570 	 Closed
10	10	 搞定Flutter設定環境：安裝xcode 	 Closed
10	10	 在Macbook中開啟termianl輸入flutter doctor以檢查flutter環境是否設置完整 	 Closed
10	14	 打通SIT測試P1-2 	 Closed
10	14	 檢查1301,1309,7301,7302是否有hard-coding 	 Closed
10	14	 檢查Firestore欄位是否符合需求 	 Closed
10	14	 撰寫DCN-0017	 Closed
10	15	 重構7580模組 	 Closed
10	15	 重構7570模組 	 Closed
10	15	 執行DCN-0018 重構測試模組之dataflow 	 Closed
10	16	 修改6501文件，導入更新的測試策略：TC-SIT-001~016：PL層業務邏輯測試，直接調用PL層函數，驗證業務邏輯正確性；TC-SIT-017~044：APL層API Gateway測試，HTTP請求到API端點，驗證API轉發功能 	 Closed
10	16	 重構7570測試代碼：移除對73XX UI部分的Dependency 	 Closed
10	16	 重構73XX模組：分拆成業務邏輯和UI(記得寫DCN) 	 Closed
10	16	 打通Dataflow：打通7302(移除7302的模擬功能) 	 Closed
10	17	 系統性檢視資料與帳號的CRUD 	 Closed
10	17	 Review寫入firebase資料的必要性 	 Ongoing
10	17	 P1-2 Passed!!!! 	 Closed
10	17	 我把account_mappings刪除掉，要記得加回來 	 Ongoing
10	20	 Review寫入firebase資料的必要性、正確性與整理資料欄位 	 Ongoing
10	20	 要如何在Firebase裡面重新寫入預設的文件？ 	 Ongoing
10	20	 處理firebase讀取數量問題 	 Ongoing
10	21	 修改0090文件：將預算管理功能提至Phase2 	 Closed
10	21	 撰寫DCN去修改P2 scope的APL gateway(P1仍使用83模組，後續回頭再修P1) 	 Closed
10	22	 撰寫DCN-0019 	 Closed
10	22	 實作APL.dart 	 Closed
10	22	 實作7571 	 Closed
10	22	 檢查7598測試資料是否能滿足SIT P2 	 Closed
10	22	 撰寫6502 	 Closed
10	22	 撰寫7103 	 Closed
10	22	 撰寫7104 	 Closed
10	22	 撰寫7203 	 Closed
10	22	 撰寫7204 	 Closed
10	22	 實作7303 	 Closed
10	22	 實作7304 	 Closed
10	23	 撰寫1111 	 Ongoing
10	23	 撰寫1112 	 Ongoing
10	23	 撰寫1151 	 Ongoing
10	23	 撰寫1211 	 Ongoing
10	23	 撰寫1212 	 Ongoing
10	23	 撰寫1251 	 Ongoing
10	23	 重構1311 	 Ongoing
10	23	 重構1312 	 Ongoing
10	23	 重構1351 	 Ongoing
10	23	 修改0015：加入ASL層   	 Ongoing
10	23	 修改7001(PL)：修改PL層職責   	 Ongoing
10	23	 修改8001(APL)：修改APL職責   	 Ongoing
10	23	 打通SIT_P2測試   	 Ongoing
10	27	 修改8001(APL)：修改APL職責   	 Ongoing
10	27	 分析1311模組所建立的資料結構：提案新增1312與1351的資料欄位   	 Ongoing
10	27	 打通SIT_P2測試：清除違反0098問題   	 Closed
10	27	 修正1312與1351模組：處理console的error log   	 Ongoing
10	28	 新增1312所需之資料欄位於1311   	 Closed
10	28	 撰寫並執行DCN-0020   	 Closed
10	28	 處理資料欄位hard-coding問題   	 Closed
10	28	 檢視userId生成邏輯   	 Closed
10	28	 修復7570   	 Closed
10	28	 製作7582   	 Closed
10	29	 分析1311之資料結構   	 Closed
10	29	 在firebase裡面建立budgets資料欄位   	 Closed
10	29	 解1301抓不到使用者帳本問題   	 Closed
10	30	 解1301抓不到使用者帳本問題   	 Closed
10	30	 分析1311模組所建立的資料結構：提案新增1313的資料欄位   	 Closed
10	30	 確認firebase之ledger下階設定Budget子集合架構   	 Closed
10	31	 確認firebase之ledger下階設定Budget子集合欄位正確性  	 Closed
10	31	 Review 7571中關於budget設定相關測試案例coverage   	 Ongoing
11	3	 確認flutter是否有完整安裝   	 Closed
11	3	 規劃前後端代碼分離   	 Ongoing
11	4	 刪除Firebase中_health_check的欄位   	 Ongoing
11	4	 Review 7571中關於budget設定相關測試案例coverage   	 Closed
11	4	 確認firebase之ledger下階設定Budget子集合架構與欄位正確性  	 Closed
11	4	 尋找在Replit做CI/CD的方法(問chatgpt)  	 Ongoing
11	4	 Fork一個project出去，一個用assistant開發，一個用agent開發，去比較品質   	 Ongoing
11	5	 整理1311的資料欄位   	 Closed
11	6	 1311模組所建立的資料結構：提案新增1313的資料欄位   	 Closed
11	6	 整理1311的資料欄位：全部採用駝峰式命名法camelCase   	 Ongoing
11	6	 研究Vibe coding流程如何優化   	 Ongoing
11	7	 研究CI/CD流程   	 Ongoing
11	7	 Review APL，將APL的業務邏輯刪除   	 Ongoing
11	7	 在firebase建立協作帳本   	 Closed
11	7	 研究debug排查方法   	 Ongoing
11	10	 在firebase建立協作帳本   	 Closed
11	10	 撰寫DCN-0021   	 Closed
11	10	 執行DCN-0021   	 Closed
11	11	 在firebase建立協作帳本   	 Closed
11	11	 修復1313. CM模組   	 Closed
11	12	 在firebase建立協作帳本   	 Closed
11	12	 研究user story轉成test case   	 Ongoing
11	12	 研究如何review code diff  	 Ongoing
11	12	 打通TC-009  	 Closed
11	13	 打通TC-010~TC-020  	 Closed
11	13	 通過SIT_P2！  	 Closed
11	13	 Review 0090文件檢視Sprint計畫  	 Closed
11	13	 修改7001：依照0090新增功能群  	 Closed
11	13	 帳戶管理應該要放在科目管理功能群裡面  	 Ongoing
11	14	 Review BL層架構：考慮刪除DD1  	 Closed
11	14	 Review SIT_P3文件  	 Closed
11	14	 撰寫DCN-0022  	 Closed
11	14	 撰寫DCN-0023  	 Closed
11	14	 想一下周末要修改什麼文件  	 Closed
11	14	 整合7021文件至7001  	 Closed
11	14	 Review DCN-0022  	 Ongoing
11	14	 Review DCN-0023  	 Closed
11	14	 更新0098文件  	 Closed
11	15	 設定firebase authentication  	 Ongoing
11	17	 執行DCN-0023  	 Closed
11	17	 撰寫7306相關文件：7106, 7206  	 Closed
11	17	 撰寫6503文件  	 Ongoing
11	17	 製作7306  	 Ongoing
11	17	 建置firebase資料結構for P3  	 Ongoing
11	17	 建置7598測試資料for P3  	 Ongoing
11	17	 研究Google play, Appstore的上架前置作業	 Open
11	18	 開發7572  	 Ongoing
11	18	 Review 7306  	 Ongoing
11	18	 準備firebase資料結構for P3：1311  	 Ongoing
11	18	 準備測試資料for P3：7598  	 Ongoing
11	18	 建置03資料夾  	 Closed
11	18	 建置0304. Default_assessment.json  	 Closed
11	18	 撰寫DCN-0024  	 Ongoing
11	18	 重新初始化firebase  	 Ongoing
11	18	 將account改成wallet  	 Closed
11	19	 準備firebase P3資料欄位  	 Ongoing
11	19	 處理0099欄位映射  	 Closed
11	19	 SIT_P3 前置準備  	 Ongoing
11	19	 Debug：7598  	 Closed
11	19	 Debug：1309建立帳本問題  	 Closed
11	20	 釐清BL(AM, BM, CM, WCM)在firebase建立、管理子集合與文檔問題  	 Ongoing
11	20	 Review 6503文件：需新增7302. 記帳核心功能群 - 處理S-204~S-210的業務邏輯的部分  	 Ongoing
11	21	 盤點1311建立firebase資料欄位職責，並分給負責BL模組  	 Ongoing
11	21	 研究github spec kit  	 Ongoing
11	21	 執行regression test_P1, P2  	 Ongoing
11	24	 檢視collaboration帳本欄位與邏輯  	 Ongoing
11	25	 檢視collaboration帳本欄位與邏輯  	 Closed
11	25	 處理firebase複合式索引及firebase CLI認證問題  	 Ongoing
11	26	 處理firebase CLI認證問題：更新service account key in secrets  	 Closed
11	27	 處理firebase CLI認證問題：review 0890文件確認索引內容  	 Closed
11	27	 檢視collaboration帳本欄位與邏輯  	 Closed
11	27	 Review 6503 新增0090關於7302新增功能  	 Closed
11	27	 修改協作帳本資料結構  	 Ongoing
12	09	 重構1315. LBK模組  	 Closed
12	09	 修改0098，修正1311資料格式的條目  	 Closed
12	10	 重構LBK：搬移LINE收支統計功能  	 Closed
12	10	 修改WH  	 Closed
12	11	 修改ASL  	 Closed
12	11	 修改LINE記帳流程：WH->LBK->AM註冊並在firebase開一個帳戶及帳本後->在firebase記帳  	 Closed
12	11	 重新設計firebase的user集合之資料欄位  	 Closed
12	11	 撰寫0070. DB schema文件  	 Closed
12	12	 修改LINE記帳流程：WH->LBK->AM註冊並在firebase開一個帳戶及帳本後->在firebase記帳  	 Closed
12	12	 研究導出firebase資料  	 Closed
12	15	 部署本專案  	 Closed
12	15	 思考在LINE快速記帳模式下，user輸入的帳目要如何匹配到科目(categories)  	 Closed
12	15	 撰寫0071文件  	 Closed
12	15	 remix Sophr-sandbox專案去實驗LINE訊息歸類科目功能  	 Closed
12	15	 建立firebase資料庫的sandbox(如何建立資料結構?)  	 Closed
12	16	 建立replit sandbox  	 Closed
12	16	 建立github sandbox  	 Closed
12	16	 建立firebase sandbox  	 Closed
12	16	 建立LINE OA sandbox  	 Closed
12	16	 檢查AM, WCM有無模擬業務及回應  	 Ongoing
12	16	 修復AM(用9601裡面的語法檢查器檢查)  	 Closed
12	16	 建立LINE quick reply功能  	 Closed
12	16	 執行DCN-0024  	 Closed
12	16	 設定ASL.js, index.js在PROD環境同時運行  	 Ongoing
12	16	 設定ASL.js, index.js, ASL.dart在Sandbox環境同時運行  	 Ongoing
12	17	 建立LINE quick reply功能：科目歸類  	 Closed
12	17	 建立LINE quick reply功能：帳戶(wallets,支付方式)  	 Ongoing
12	17	 修改transactions的DB schema(paymentmethod跟wallet的連動)  	 Closed
12	17	 研究Replit裡面sandbox改的代碼要如何push到PROD環境(用git branch去控制?)  	 Closed
12	17	 修改wallets子集合資料欄位  	 Closed
12	18	 建立LINE quick reply功能：帳戶(wallets,支付方式)  	 Closed
12	18	 研究如何讓LINE quick reply功能的科目歸類邏輯與支付方式歸類邏輯能讓user在一次互動中完成  	 Ongoing
12	19	 建立Branch：20251218.科目與支付方式歸類邏輯一次性互動方案  	 Closed
12	19	 整理9601與9602文件  	 Closed
12	19	 修改0070文件  	 Ongoing
12	19	 建立0305文件：pendingtransactions  	 Closed
12	19	 導入科目歸類邏輯與支付方式歸類邏輯一次性互動方案  	 Ongoing
12	22	 導入科目歸類邏輯與支付方式歸類邏輯一次性互動方案  	 Ongoing
12	22	 將subject正名為category(僅限LINE模式相關模組)  	 Closed
12	22	 修復無法識別已寫入synonyms的資料問題  	 Closed
12	23	 導入科目歸類邏輯與支付方式歸類邏輯一次性互動方案  	 Ongoing
12	23	 確認firestore寫入資料量超過上限問題  	 Closed
12	24	 修復支付方式歸類邏輯  	 Ongoing
12	24	 修改0070文件  	 Critical
12	24	 修改LBK過時資料欄位  	 Ongoing
12	24	 以0070文件規範去檢視各模組之collection與subcollection  	 Ongoing
12	24	 盤點各模組之資料庫資料欄位  	 Ongoing
